commit_hash,author_date_unix_timestamp,author_date,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug
948b65f30a4c6560d2207a5165051294c0e96c3b,1501067097,Wed Jul 26 20:04:57 2017 +0900,true,1,1,1,0,24,0,414,48,2.03420138888889,26,8980,1.49159341128275,1005,false
ef3b3ce3a65e8ac6e13ffd19285810595b920816,1501066110,Wed Jul 26 13:48:30 2017 +0300,false,1,1,1,0,4,4,286,48,1.12523148148148,14,3217,1.88870602756634,590,false
6fe0cc0ad50f29fd32fe85c447e3abb2e3317bdb,1501062025,Wed Jul 26 18:40:25 2017 +0900,true,1,1,1,0,5,5,521,48,0.510740740740741,14,8979,2.95794053662074,123,true
7bed85f0fcc84ed98fabbfc0adf9e33f41043ba5,1501061487,Wed Jul 26 12:31:27 2017 +0300,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
a347fb6f8c05afa1d52f8ace19a499d962ff72b2,1501044900,Wed Jul 26 14:55:00 2017 +1000,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
a0de26150881c504589ac7ab3cd647b58ac90ec5,1501037485,Wed Jul 26 11:51:25 2017 +0900,true,1,1,1,0,0,0,125,45,22.2062037037037,147,577,1.0450324608989,173,false
2d85fb7093cc0ae64c999d3908cdf747c39606bc,1501036633,Wed Jul 26 12:37:13 2017 +1000,false,1,2,2,0.55992610965085,20,164,557.5,48,0.0137731481481481,13,8055.5,55.453781512605,34,true
ef94ce31fd54e99585810d8335003e33536db98d,1501035443,Wed Jul 26 12:17:23 2017 +1000,false,2,3,4,1.47411862288977,19,22,499.25,48,0.933709490740741,50,8052.5,1.76627092589993,1749,true
f2802d56a5b8edde63363362649e24046389b80c,1501022740,Wed Jul 26 01:45:40 2017 +0300,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
36d5bc75e6b6a3f5f3226c7c03a8a18ee591ebdc,1501019168,Wed Jul 26 00:46:08 2017 +0300,false,1,1,1,0,1,1,192,48,0.00799768518518519,11,3216,126.036179450072,10,true
29b976ac545ed98ab7019f371259a804bb93b9c7,1501018477,Wed Jul 26 00:34:37 2017 +0300,false,1,1,1,0,1,0,189,48,0.00583333333333333,10,3215,172.428571428571,9,false
0a94f9214e8373a564a6de9042a1a725ee888ac4,1501017973,Wed Jul 26 00:26:13 2017 +0300,false,1,1,1,0,3,0,185,48,0.0178472222222222,9,3214,57.0311284046693,8,true
0eaeeca8c1306c943a29a0ff0f2a2c8cc72c4afd,1501017897,Wed Jul 26 06:24:57 2017 +0900,true,2,4,5,1.78371017814928,70,69,846.4,48,9.90280787037037,163,8976,1.03240135668479,366,true
7e3e725ad69083157c2f55c27f69feabf7fcb349,1501016431,Wed Jul 26 00:00:31 2017 +0300,false,1,1,1,0,1,1,185,48,0.107743055555556,8,3213,10.2813406380922,7,false
467ce10974f7982113edd27b2797f2614f7d9b3a,1501014506,Tue Jul 25 16:28:26 2017 -0400,false,1,1,1,0,0,0,281,48,0.0297569444444444,14,1767,34.6056009334889,29,false
43535a779428f67ab4cb9abc6278cbff95d6b2a3,1501011935,Tue Jul 25 15:45:35 2017 -0400,false,1,1,1,0,0,0,281,48,0.0182175925925926,13,1766,55.8919949174079,28,false
607ed8be65bcbf36f0ed4eb61385851f73c90d01,1501010361,Tue Jul 25 12:19:21 2017 -0700,true,1,1,1,0,0,0,292,48,17.7755324074074,12,1765,1.05625710538961,27,false
d1545a63a7ed4f488698a2ba9aae01d95fadf72a,1501008146,Tue Jul 25 11:42:26 2017 -0700,false,1,1,1,0,1,1,211,48,21.625462962963,15,303,1.04624178459035,0,false
e408a2ce180c5884ec17078912219c5f7d066b9e,1501007122,Tue Jul 25 21:25:22 2017 +0300,false,1,1,1,0,21,4,157,48,10.8066898148148,7,3212,1.09253527371805,6,true
33cc0b40005fccb97bdc4483a56153c281651a62,1500997894,Tue Jul 25 18:51:34 2017 +0300,false,1,2,2,0.173195561894127,38,24,3200,48,0.0275,283,3210.5,28.2727272727273,589,false
8d4ad24babae842b853dabbf96857037df29f37e,1500995518,Tue Jul 25 18:11:58 2017 +0300,false,1,3,3,0.589725965149875,54,26,2500.66666666667,48,12.6101388888889,340,3208,1.0484618858282,587,true
a022f16a6cc1e86e1743721b3248dbcc973aa107,1500979952,Tue Jul 25 19:52:32 2017 +0900,true,1,1,1,0,0,0,756,45,1.09869212962963,423,576,1.91017308036702,43,false
e7d4f08dae6e032f7356820ca6aca787a531715c,1500979425,Tue Jul 25 20:43:45 2017 +1000,false,1,2,2,0.782444129406689,71,19,516.5,48,0.12193287037037,9,8049.5,7.15092548647366,30,false
e3889cba6f120ea189ae90aa50ce99708cc56c61,1500968890,Tue Jul 25 17:48:10 2017 +1000,false,2,4,5,0.974156007995196,109,5,370.8,48,20.4214444444444,68,8046,10.4691508196164,1747,true
7a54cadc8654f49242b007b3530612e151e68ce4,1500966090,Tue Jul 25 17:01:30 2017 +1000,false,1,2,2,0.723710219088241,130,22,360.5,44,6.87335648148148,5,8042.5,1.1091169942983,26,true
d712aa798ad13eaf9094a0e0fe718068a1e57bff,1500956937,Tue Jul 25 14:28:57 2017 +1000,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false
4de8eaf144da546618be9f66ef6a2a6a777c3b39,1500920728,Mon Jul 24 11:25:28 2017 -0700,false,3,6,8,2.10189604239202,63,13,360.5,48,8.69714988425926,123,249.5,0.648188896905898,22,true
69ffdf0f3cebe7aec455bd4a3f5ae393e05450ba,1500903580,Mon Jul 24 16:39:40 2017 +0300,true,1,2,2,0.91829583405449,3,3,897,44,111.069045138889,15,3205.5,1.00586363478562,79,true
07330dbe55ac85457195ee3b1a7cc666400f5828,1500891442,Mon Jul 24 20:17:22 2017 +1000,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
587601e793bf59b0ebaa6ccc41186987124ceb01,1500891342,Mon Jul 24 20:15:42 2017 +1000,false,5,20,55,4.91740486687822,249,287,252.454545454545,48,7.58685521885522,813,8014,1.00925751255381,1,false
d3ea88f845e18707ce40a1e8ded9ef22d2cb8908,1500886830,Mon Jul 24 19:00:30 2017 +1000,false,1,1,1,0,15,6,368,43,138.203611111111,20,7986,1.00723570094848,2001,true
3e5fa7e638c20119ed43772235f7ba55044a3821,1500885025,Mon Jul 24 18:30:25 2017 +1000,false,1,1,1,0,0,0,756,45,12.5907986111111,422,7985,1.07942307957476,55,false
5b5af16cb0f1f228b4ac17726e09179511e02366,1500882132,Mon Jul 24 10:42:12 2017 +0300,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
